Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P11446	argC b3958 JW3930	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	3 out of 5	arginine biosynthetic process [GO:0006526]	ecj:JW3930;eco:b3958;	PF01118;PF02774;	AAC76940;BAE77353;	EcoCyc:N-ACETYLGLUTPREDUCT-MONOMER;ECOL316407:JW3930-MONOMER;MetaCyc:N-ACETYLGLUTPREDUCT-MONOMER;
P02924	araF b1901 JW1889	L-arabinose-binding periplasmic protein (ABP)	4 out of 5	L-arabinose transmembrane transport [GO:0042882]	ecj:JW1889;eco:b1901;	PF00532;	AAC74971;BAA15721;	EcoCyc:ARAF-MONOMER;ECOL316407:JW1889-MONOMER;MetaCyc:ARAF-MONOMER;
P77570	anmK ydhH b1640 JW1632	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	4 out of 5	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; carbohydrate metabolic process [GO:0005975]; peptidoglycan turnover [GO:0009254]	ecj:JW1632;eco:b1640;	PF03702;	AAC74712;BAA15401;	EcoCyc:G6880-MONOMER;ECOL316407:JW1632-MONOMER;MetaCyc:G6880-MONOMER;
P37794	chbG ydjC b1733 JW1722	Chitooligosaccharide deacetylase ChbG (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	5 out of 5	chitin catabolic process [GO:0006032]; diacetylchitobiose catabolic process [GO:0052777]; polysaccharide catabolic process [GO:0000272]	ecj:JW1722;eco:b1733;	PF04794;	AAC74803;BAA15514;	EcoCyc:EG12198-MONOMER;ECOL316407:JW1722-MONOMER;MetaCyc:EG12198-MONOMER;
P08401	creC phoM b4399 JW4362	Sensor protein CreC (EC 2.7.13.3)	5 out of 5	peptidyl-histidine phosphorylation [GO:0018106]; regulation of response to osmotic stress [GO:0047484]; response to nutrient [GO:0007584]; signal transduction by protein phosphorylation [GO:0023014]	ecj:JW4362;eco:b4399;	PF00672;PF02518;PF00512;	AAC77352;BAE78388;	EcoCyc:CREC-MONOMER;ECOL316407:JW4362-MONOMER;
P0AD01	dcuR yjdG b4124 JW4085	Transcriptional regulatory protein DcuR	4 out of 5	phosphorelay signal transduction system [GO:0000160]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	ecj:JW4085;eco:b4124;	PF00072;	AAC77085;BAE78126;	EcoCyc:DCUR-MONOMER;ECOL316407:JW4085-MONOMER;
P31224	acrB acrE b0462 JW0451	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	5 out of 5	xenobiotic transport [GO:0042908]	ecj:JW0451;eco:b0462;	PF00873;	AAC73564;BAE76241;	EcoCyc:ACRB-MONOMER;ECOL316407:JW0451-MONOMER;MetaCyc:ACRB-MONOMER;
P0AE24	araE b2841 JW2809	Arabinose-proton symporter (Arabinose transporter)	4 out of 5	fucose transmembrane transport [GO:0015756]; glucose import [GO:0046323]; L-arabinose transmembrane transport [GO:0042882]	ecj:JW2809;eco:b2841;	PF00083;	AAC75880;BAE76910;	EcoCyc:ARAE-MONOMER;ECOL316407:JW2809-MONOMER;MetaCyc:ARAE-MONOMER;
P33013	dacD phsE yeeC b2010 JW5329	D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b)	5 out of 5	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan metabolic process [GO:0000270]; regulation of cell shape [GO:0008360]	ecj:JW5329;eco:b2010;	PF07943;PF00768;	AAC75071;BAA15838;	EcoCyc:RPOA-MONOMER;ECOL316407:JW5329-MONOMER;MetaCyc:RPOA-MONOMER;
P56100	cydX ybgT b4515 JW0724	Cytochrome bd-I ubiquinol oxidase subunit X (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit X) (Cytochrome d ubiquinol oxidase subunit X)	5 out of 5	oxidative phosphorylation [GO:0006119]	ecj:JW0724;eco:b4515;	PF08173;	ABD18645;BAE76359;	EcoCyc:MONOMER0-2663;ECOL316407:JW0724-MONOMER;MetaCyc:MONOMER0-2663;
